id,filename,org,doc,year,url,topic,pages
61,ss-Vitamin C for preventing and treating the common cold.pdf,Cochrane 协作网,Vitamin C for preventing and treating the common cold,2013,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000980.pub4/full,膳食补充剂与保健品,3-22
62,ss-Omega-3 fatty acids for the primary and secondary prevention of cardiovascular disease.pdf,Cochrane 协作网,Omega-3 fatty acids for the primary and secondary prevention of cardiovascular disease,2020,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003177.pub5/full,膳食补充剂与保健品,29-63
63,ss-Polyunsaturated fatty acids for prevention and treatment of diseases of the heart and circulation.pdf,Cochrane 协作网,Polyunsaturated fatty acids for prevention and treatment of diseases of the heart and circulation,2018,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012345.pub2/,膳食补充剂与保健品,18-43
64,ss-Glucosamine therapy for treating osteoarthritis.pdf,Cochrane 协作网,Glucosamine therapy for treating osteoarthritis,2008,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002946.pub2/abstract,膳食补充剂与保健品,4-19
65,ss-Chondroitin for osteoarthritis.pdf,Cochrane 协作网,Chondroitin for osteoarthritis,2015,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005614.pub2/full,膳食补充剂与保健品,8-48
66,ss-Co-enzyme Q10 supplementation for the primary prevention of cardiovascular disease.pdf,Cochrane 协作网,Co-enzyme Q10 supplementation for the primary prevention of cardiovascular disease,2014,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010405.pub2/full,膳食补充剂与保健品,3-15
67,"ss-Vitamin D, Calcium, or Combined Supplementation for the Primary Prevention of Fractures in Community-Dwelling Adults： Pr.pdf",USPSTF,"Vitamin D, Calcium, or Combined Supplementation for the Primary Prevention of Fractures in Community-Dwelling Adults: Preventive Medication",2024,https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/vitamin-d-calcium-or-combined-supplementation-for-the-primary-prevention-of-fractures-in-adults-preventive-medication#fullrecommendationstart,膳食补充剂与保健品,1-11
68,ss-Vitamin Supplementation to Prevent Cardiovascular Disease and Cancer： Preventive Medication.pdf,USPSTF,Vitamin Supplementation to Prevent Cardiovascular Disease and Cancer: Preventive Medication,2022,https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/vitamin-supplementation-to-prevent-cvd-and-cancer-preventive-medication,膳食补充剂与保健品,1-14
69,ss-Final Evidence Summary： Vitamin Supplementation to Prevent Cardiovascular Disease and Cancer.pdf,USPSTF,Final Evidence Summary: Vitamin Supplementation to Prevent Cardiovascular Disease and Cancer,2022,https://www.uspreventiveservicestaskforce.org/uspstf/document/final-evidence-summary/vitamin-supplementation-to-prevent-cvd-and-cancer-preventive-medication,膳食补充剂与保健品,1-24
70,ss-AGA Clinical Practice Guidelines on the Role of Probiotics in the Management of Gastrointestinal Disorders.pdf,AGA,AGA Clinical Practice Guidelines on the Role of Probiotics in the Management of Gastrointestinal Disorders,2020,https://pubmed.ncbi.nlm.nih.gov/32531291/,膳食补充剂与保健品,1-8
71,ss-Dietary Supplements for Eye Conditions.pdf,NIH / NCCIH,Dietary Supplements for Eye Conditions,2023,https://www.nccih.nih.gov/health/providers/digest/dietary-supplements-for-eye-conditions,膳食补充剂与保健品,3-10
72,ss-Age-Related Eye Disease Studies (AREDS／AREDS2).pdf,NIH / NEI,Age-Related Eye Disease Studies (AREDS/AREDS2),2022,https://www.nei.nih.gov/eye-health-information/clinical-trials/age-related-eye-disease-studies-aredsareds2/about-areds-and-areds2,膳食补充剂与保健品,1-5
73,ss-Melatonin ／ Melatonin side effects： What are the risks？.pdf,Mayo Clinic,Melatonin / Melatonin side effects: What are the risks?,2022,https://www.mayoclinic.org/healthy-lifestyle/adult-health/expert-answers/melatonin-side-effects/faq-20057874,膳食补充剂与保健品,1-3
74,ss-银杏 (Ginkgo).pdf,Mayo Clinic,银杏 (Ginkgo),2023,https://www.mayoclinic.org/zh-hans/drugs-supplements-ginkgo/art-20362032,膳食补充剂与保健品,1-3
75,ss-Milk thistle ／ Self-care for fatty liver disease (MASLD).pdf,Mayo Clinic,Milk thistle / Self-care for fatty liver disease (MASLD),2023,https://www.mayoclinic.org/drugs-supplements-milk-thistle/art-20362885,膳食补充剂与保健品,1-3
76,ss-Red yeast rice.pdf,Mayo Clinic,Red yeast rice,2023,https://www.mayoclinic.org/drugs-supplements-red-yeast-rice/art-20363074,膳食补充剂与保健品,1-3
